Name,Price,Producer,MPN,EAN,UPC,Width,Depth,Height,Motherboard,Power Supply,Supported GPU Length,Supported CPU Cooler Height,80mm Fans,120mm Fans,140mm Fans,200mm Fans,120mm Radiator Support,140mm Radiator Support,240mm Radiator Support,280mm Radiator Support,360mm Radiator Support,"Disk 2.5""","Disk 3.5""","Disk 2.5""/3.5""","Disk 5.25""",Primary Color(s),Window,Dust Filter,Cable Management,Noise Isolation,Image URL
Corsair 4000D Airflow Tempered Glass Midi-Tower - white Window,$87.03 USD,Corsair,CC-9011201-WW,8.40007E+11,,230 mm,453 mm,466 mm,E-ATX,ATX,360 mm,170 mm,0/0,6-Feb,0/4,0/0,1,0,0,1,1,2,0,0,,white,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/81DLXBMhpoL._AC_UY218_.jpg
Antec P5 Mini - black,$75.82 USD,Antec,0-761345-80012-9,7.61346E+11,,195 mm,475 mm,395 mm,Micro-ATX,ATX,360 mm,155 mm,0/0,3-Jan,1-Jan,0/0,1,0,1,0,0,4,0,0,,black,FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/41j2+IlM7vS._AC_UY218_.jpg
Corsair 4000D Airflow Tempered Glass Midi-Tower - black Window,$100.19 USD,Corsair,CC-9011200-WW,8.40007E+11,,230 mm,453 mm,466 mm,E-ATX,ATX,360 mm,170 mm,0/0,6-Feb,0/4,0/0,1,0,0,1,1,2,0,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/81F-o3IrFRL._AC_UY218_.jpg
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - black",$141.44 USD,Corsair,CC-9011210-WW,8.40007E+11,,245 mm,520 mm,520 mm,E-ATX,ATX,420 mm,170 mm,0/0,10-Feb,0/4,0/0,0,0,0,0,3,4,2,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/61-u3G8Bg9L._AC_UY218_.jpg
"Corsair 5000D Airflow Midi-Tower, Tempered Glass - white",$141.43 USD,Corsair,CC-9011211-WW,8.40007E+11,,245 mm,520 mm,520 mm,E-ATX,ATX,420 mm,170 mm,0/0,10-Feb,0/4,0/0,1,0,0,0,3,4,2,0,,white,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/81DLXBMhpoL._AC_UY218_.jpg
Corsair Carbide SPEC-02 Midi-Tower - black/red,$63.86 USD,Corsair,CC-9011051-WW,8.43591E+11,10832829458,220 mm,500 mm,430 mm,ATX,ATX,420 mm,157 mm,0/0,6-Feb,0/2,0/0,1,0,0,0,0,2,3,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/61VJFZRqyzL._AC_UY218_.jpg
Fractal Design Define Nano S Mini-ITX - black,$68.9 USD,Fractal Design,FD-CA-DEF-NANO-S-BK,7.35004E+12,8.17301E+11,203 mm,400 mm,330 mm,Mini-ITX,ATX,315 mm,160 mm,0/0,6-Jan,4-Jan,0/0,2,0,2,1,0,4,2,0,,black,FALSE,TRUE,TRUE,TRUE,https://m.media-amazon.com/images/I/71jXkQBeuvL._AC_UY218_.jpg
Fractal Design Focus G Midi-Tower - black Window,$52.22 USD,Fractal Design,FD-CA-FOCUS-BK-W,7.35004E+12,8.17301E+11,205 mm,464 mm,444 mm,ATX,ATX,380 mm,165 mm,0/0,6-Feb,0/4,0/0,1,0,2,1,0,1,2,0,,black,TRUE,TRUE,FALSE,FALSE,https://m.media-amazon.com/images/I/71-MAbxwqqL._AC_UY218_.jpg
Fractal Design Meshify C Midi-Tower - black,$87.04 USD,Fractal Design,FD-CA-MESH-C-BKO,7.34017E+12,8.43276E+11,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,7-Feb,0/4,0/0,1,0,1,0,1,3,0,0,,black,FALSE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/81nqpH8jbbL._AC_UY218_.jpg
"Fractal Design Meshify C Mini Dark TG Micro-ATX, Glas - black",$94.29 USD,Fractal Design,FD-CA-MESH-C-MINI-BKO-TGD,7.34017E+12,8.43276E+11,212 mm,395 mm,399 mm,Micro-ATX,ATX,315 mm,172 mm,0/0,7-Feb,0/4,0/0,1,0,2,1,0,5,2,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/91lISP4v9eL._AC_UY218_.jpg
Fractal Design Meshify C Tempered Glass Dark Midi-Tower - black,$83.41 USD,Fractal Design,FD-CA-MESH-C-BKO-TG,7.35004E+12,8.17301E+11,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,7-Feb,0/4,0/0,1,0,1,1,1,5,2,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/81nqpH8jbbL._AC_UY218_.jpg
Fractal Design Meshify C Tempered Glass Midi-Tower - black,$101.55 USD,Fractal Design,FD-CA-MESH-C-BKO-TGL,7.34017E+12,8.43276E+11,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,7-Feb,0/4,0/0,1,0,1,0,1,3,2,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/81nqpH8jbbL._AC_UY218_.jpg
Fractal Design Meshify C White Tempered Glass Midi-Tower - white,$97.92 USD,Fractal Design,FD-CA-MESH-C-WT-TGC,7.34017E+12,8.43276E+11,217 mm,395 mm,440 mm,ATX,ATX,315 mm,172 mm,0/0,7-Feb,0/4,0/0,1,0,1,0,1,3,0,0,,white,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/51cqul4DL3L._AC_UY218_.jpg
Fractal Design Node 202 Mini-ITX - black,$79.78 USD,Fractal Design,FD-CA-NODE-202-BK,7.35004E+12,8.17301E+11,377 mm,330 mm,82 mm,Mini-ITX,SFX,310 mm,56 mm,0/0,0/2,0/0,0/0,0,0,0,0,0,2,0,0,,black,FALSE,TRUE,FALSE,FALSE,https://m.media-amazon.com/images/I/814HJlMXOsL._AC_UY218_.jpg
"Lian Li LANCOOL II Mesh C Performance Midi-Tower, Tempered Glass - black",$144.33 USD,Lian Li,Lancool II mesh C performance black,4.71847E+12,,229 mm,478 mm,494 mm,E-ATX,ATX,384 mm,176 mm,0/0,8-Jan,4-Feb,0/0,0,0,1,1,1,6,0,0,,black,TRUE,TRUE,FALSE,FALSE,https://m.media-amazon.com/images/I/51qAq3ZwBcL._AC_UY218_.jpg
"NZXT H510 Midi-Tower, TG - black Window",$61.65 USD,NZXT,CA-H510B-B1,5.0603E+12,8.15671E+11,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,4-Feb,0/2,0/0,1,0,0,1,0,3,3,0,,black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/61moA9MB8mL._AC_UY218_.jpg
"NZXT H510 Midi-Tower, TG - black/red Window",$61.65 USD,NZXT,CA-H510B-BR,5.0603E+12,8.15671E+11,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,4-Feb,0/2,0/0,1,0,0,1,0,3,3,0,,red black,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/71hWSa+lUOL._AC_UY218_.jpg
"NZXT H510 Midi-Tower, TG - white Window",$61.65 USD,NZXT,CA-H510B-W1,5.0603E+12,8.15671E+11,210 mm,428 mm,460 mm,ATX,ATX,381 mm,165 mm,0/0,4-Feb,0/2,0/0,1,0,0,1,0,3,3,0,,white,TRUE,TRUE,TRUE,FALSE,https://m.media-amazon.com/images/I/61moA9MB8mL._AC_UY218_.jpg
