Name,Price,Producer,MPN,EAN,UPC,Supported Sockets,Height,TDP,80mm Fans,92mm Fans,120mm Fans,140mm Fans,200mm Fans,Additional Fan Support,Image URL
be quiet! Dark Rock 4 - 135mm,$64.54 USD,be quiet!,BK021,4260052186251,4260052186251.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",159 mm,200 W,0,0,0,0,0,True,https://m.media-amazon.com/images/I/71B5fTHeR+L._AC_UY218_.jpg
Arctic Freezer 34 - 120mm,$30.72 USD,Arctic,ACFRE00052A,4895213701440,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",157 mm,150 W,0,0,0,0,0,True,https://m.media-amazon.com/images/I/61U+-vptquL._AC_UY218_.jpg
"Arctic Freezer 34 eSports Duo , 2x 120mm - red",$51.28 USD,Arctic,ACFRE00060A,4895213701860,,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61U+-vptquL._AC_UY218_.jpg
"Arctic Freezer 34 eSports Duo , 2x 120mm - white",$44.94 USD,Arctic,ACFRE00061A,4895213701877,872767009790.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, 1700",157 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61+xuBK7wkL._AC_UY218_.jpg
Arctic Freezer I11 - 92mm,$28.29 USD,Arctic,UCACO-FI11001-CSA01,872767006812,,"1150, 1151, 1155, 1156, 2011, 2011-V3",130 mm,,0,1,0,0,0,False,https://m.media-amazon.com/images/I/61KSAfudIuL._AC_UY218_.jpg
Arctic Liquid Freezer II Processor,$90.6 USD,Arctic,ACFRE00046A,4895213701907,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",0 mm,,0,0,2,0,0,False,https://m.media-amazon.com/images/I/61UvhPy9dIL._AC_UY218_.jpg
be quiet! Dark Rock Pro 4 - 135mm,$104.44 USD,be quiet!,BK022,4260052186268,4260052186268.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",163 mm,250 W,0,0,0,0,0,True,https://m.media-amazon.com/images/I/71B5fTHeR+L._AC_UY218_.jpg
be quiet! Pure Rock - 120mm,$52.68 USD,be quiet!,BK009,4260052183915,4260052183915.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",155 mm,,0,0,0,0,0,False,https://m.media-amazon.com/images/I/61dTJkutSRL._AC_UY218_.jpg
Cooler Master Hyper 212 Black Edition - 120mm,$62.91 USD,Cooler Master,RR-212S-20PK-R1,4719512076163,884102048654.0,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",160.02 mm,,0,0,0,0,0,True,https://m.media-amazon.com/images/I/71yaJKTZ7IL._AC_UY218_.jpg
Corsair Cooling Hydro Series H100i Pro,$116.05 USD,Corsair,CW-9060033-WW,843591026512,,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",0 mm,,0,0,2,0,0,False,https://m.media-amazon.com/images/I/71ANJVsrYiL._AC_UY218_.jpg
