Name,Price,Producer,MPN,EAN,UPC,Base Clock,Turbo Clock,Unlocked Multiplier,Cores,Threads,TDP,Socket,Integrated GPU,Image URL
AMD Ryzen 5 5600X,$158.86 USD,AMD,100-100000065BOX,7.30E+11,,3.7 GHz,4.6 GHz,TRUE,6,12,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
AMD Athlon 3000G,$53.22 USD,AMD,YD3000C6FHBOX,7.30E+11,,3.5 GHz,,TRUE,2,4,35 W,AM4,Radeon RX Vega 3,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_UY218_.jpg
AMD Ryzen 3 3300X,$150.09 USD,AMD,100-100000159BOX,7.30E+11,,3.8 GHz,4.3 GHz,TRUE,4,8,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/81DdgQpbMqL._AC_UY218_.jpg
AMD Ryzen 5 5500,$87.04 USD,AMD,100-100000457BOX,7.30E+11,,3.6 GHz,4.2 GHz,TRUE,6,12,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51So7GoGvxL._AC_UY218_.jpg
AMD Ryzen 5 5600,$133.46 USD,AMD,100-100000927BOX,7.30E+11,,3.5 GHz,4.4 GHz,TRUE,6,12,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/517vY9awQdL._AC_UY218_.jpg
AMD Ryzen 5 5600G,$122.59 USD,AMD,100-100000252BOX,7.30E+11,,3.9 GHz,4.4 GHz,TRUE,6,12,65 W,AM4,"Radeon RX Vega 7, Cezanne",https://m.media-amazon.com/images/I/51f2hkWjTlL._AC_UY218_.jpg
AMD Ryzen 5 7600,$216.89 USD,AMD,100-100001015BOX,7.30E+11,,3.8 GHz,5.1 GHz,TRUE,6,12,65 W,AM5,Ryzen 7000 Graphics,https://m.media-amazon.com/images/I/61h39mKsSBL._AC_UY218_.jpg
AMD Ryzen 5 7600X,$202.37 USD,AMD,100-100000593WOF,7.30E+11,,4.7 GHz,5.3 GHz,TRUE,6,12,105 W,AM5,Ryzen 7000 Graphics,https://m.media-amazon.com/images/I/41j61j9aZGL._AC_UY218_.jpg
AMD Ryzen 7 5700G,$188.59 USD,AMD,100-100000263BOX,7.30E+11,,3.8 GHz,4.6 GHz,TRUE,8,16,65 W,AM4,"Radeon RX Vega 8, Cezanne",https://m.media-amazon.com/images/I/61f5h6jDLAL._AC_UY218_.jpg
AMD Ryzen 7 5700X,$187.87 USD,AMD,100-100000926WOF,7.30E+11,,3.4 GHz,4.6 GHz,TRUE,8,16,65 W,AM4,FALSE,https://m.media-amazon.com/images/I/51gRv8z+K6L._AC_UY218_.jpg
AMD Ryzen 7 5800X,$231.38 USD,AMD,100-100000063WOF,7.30E+11,,3.8 GHz,4.7 GHz,TRUE,8,16,105 W,AM4,FALSE,https://m.media-amazon.com/images/I/61IIbwz-+ML._AC_UY218_.jpg
AMD Ryzen 7 5800X3D,$304.65 USD,AMD,100-100000651WOF,7.30E+11,,3.4 GHz,4.5 GHz,FALSE,8,16,105 W,AM4,FALSE,https://m.media-amazon.com/images/I/61TXaMf2WyL._AC_UY218_.jpg
AMD Ryzen 7 7700,$319.16 USD,AMD,100-100000592BOX,7.30E+11,,3.8 GHz,5.3 GHz,TRUE,8,16,65 W,AM5,Ryzen 7000 Graphics,https://m.media-amazon.com/images/I/51hfER1cZVL._AC_UY218_.jpg
AMD Ryzen 7 7700X,$318.44 USD,AMD,100-100000591WOF,7.30E+11,,4.5 GHz,5.4 GHz,TRUE,8,16,105 W,AM5,Ryzen 7000 Graphics,https://m.media-amazon.com/images/I/51hfER1cZVL._AC_UY218_.jpg
AMD Ryzen 7 7800X3D,$384.44 USD,AMD,100-100000910WOF,7.30E+11,,4.2 GHz,5.0 GHz,FALSE,8,16,120 W,AM5,Ryzen 7000 Graphics,https://m.media-amazon.com/images/I/51HqC0rU9HL._AC_UY218_.jpg
AMD Ryzen 9 5900X,$325.69 USD,AMD,100-100000061WOF,7.30E+11,,3.7 GHz,4.8 GHz,TRUE,12,24,105 W,AM4,FALSE,https://m.media-amazon.com/images/I/51S-lEYQZJL._AC_UY218_.jpg
AMD Ryzen 9 5950X,$224.86 USD,AMD,100-100000059WOF,7.30E+11,,3.4 GHz,4.9 GHz,TRUE,16,32,105 W,AM4,FALSE,https://m.media-amazon.com/images/I/61ISSSA+x+L._AC_UY218_.jpg
