Name,Price,Producer,MPN,EAN,UPC,Length,Slots,8-Pin Connectors,6-Pin Connectors,HDMI,DisplayPort,DVI,VGA,Boost Clock,Vram,Memory Clock,TDP,Image URL
ASRock Radeon RX 7700 XT Phantom Gaming 12GO,$499.61 USD,ASRock,90-GA4LZZ-00UANF,4710483943614,,328 mm,2.5,2,0,1,3,0,0,2599 MHz,12 GB,18000 MHz,245 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
ASRock Radeon RX 7800 XT Challenger 16GO,$547.11 USD,ASRock,90-GA4SZZ-00UANF,4710483943683,,267 mm,2.5,2,0,1,3,0,0,2475 MHz,16 GB,19500 MHz,263 W,https://m.media-amazon.com/images/I/612bL8UL2IL._AC_UY218_.jpg
ASUS Radeon RX 6700 XT TUF O12G,$768.16 USD,ASUS,90YV0G80-M0NA00,4711081119289,,322 mm,3.0,1,1,1,3,0,0,2622 MHz,12 GB,8000 MHz,230 W,https://m.media-amazon.com/images/I/815-M4vy8JL._AC_UY218_.jpg
Gigabyte GeForce RTX 3050 Eagle OC,$283.32 USD,Gigabyte,GV-N3050EAGLE OC-8GD,4719331310721,889523031940.0,213 mm,2.0,1,0,2,2,0,0,1792 MHz,8 GB,4 MHz,130 W,https://m.media-amazon.com/images/I/714J6o2Ug7L._AC_UY218_.jpg
Gigabyte GeForce RTX 3050 Gaming OC,$295.95 USD,Gigabyte,GV-N3050GAMING OC-8GD,4719331310691,889523031810.0,282 mm,2.0,1,0,2,2,0,0,1822 MHz,8 GB,4 MHz,130 W,https://m.media-amazon.com/images/I/714J6o2Ug7L._AC_UY218_.jpg
Gigabyte GeForce RTX 3060 Gaming OC 12G LHR,$297.4 USD,Gigabyte,GV-N3060GAMING OC-12GD 2.0,4719331309312,889523028629.0,282 mm,2.0,1,0,2,2,0,0,1837 MHz,12 GB,15000 MHz,170 W,https://m.media-amazon.com/images/I/71gV7xzG6fS._AC_UY218_.jpg
Gigabyte GeForce RTX 3060 Ti Gaming OC 8G LHR,$426.51 USD,Gigabyte,GV-N306TGAMING OC-8GD 2.0,4719331309794,889523029626.0,282 mm,2.0,1,0,2,2,0,0,1740 MHz,8 GB,14000 MHz,230 W,https://m.media-amazon.com/images/I/71HQdX8f1NS._AC_UY218_.jpg
Gigabyte GeForce RTX 3060 Ti Gaming OC Pro 8G LHR,$649.8 USD,Gigabyte,GV-N306TGAMINGOC PRO-8GD 3.0,4719331309411,889523029237.0,281 mm,2.0,1,1,2,2,0,0,1770 MHz,8 GB,14000 MHz,200 W,https://m.media-amazon.com/images/I/71HQdX8f1NS._AC_UY218_.jpg
Gigabyte GeForce RTX 3060 Vision OC 12G LHR,$355.43 USD,Gigabyte,GV-N3060VISION OC-12GD 2.0,4719331309350,889523028841.0,280 mm,2.0,1,0,2,2,0,0,1837 MHz,12 GB,15000 MHz,170 W,https://m.media-amazon.com/images/I/71HQdX8f1NS._AC_UY218_.jpg
Gigabyte GeForce RTX 3070 Ti Master,$1034.26 USD,Gigabyte,GV-N307TAORUS M-8GD,4719331309336,889523028728.0,324 mm,3.5,2,1,3,3,0,0,1875 MHz,8 GB,19000 MHz,290 W,https://m.media-amazon.com/images/I/81ZWSNdXNSS._AC_UY218_.jpg
Gigabyte GeForce RTX 3080 Ti Eagle OC 12G LHR,$1305.67 USD,Gigabyte,GV-N308TEAGLE OC-12GD,4719331308827,889523027943.0,320 mm,2.7,2,0,2,3,0,0,1680 MHz,12 GB,19000 MHz,320 W,https://m.media-amazon.com/images/I/71Z81Ai5GgL._AC_UY218_.jpg
Gigabyte GeForce RTX 3090 Ti Gaming OC,$1718.23 USD,Gigabyte,GV-N309TGAMING OC-24GD,4719331310653,889523031780.0,331 mm,3.5,0,0,1,3,0,0,1905 MHz,24 GB,,450 W,https://m.media-amazon.com/images/I/81ZWSNdXNSS._AC_UY218_.jpg
GIGABYTE GeForce RTX 4060 Ti Eagle,$398.22 USD,Gigabyte,GV-N406TEAGLE-8GD,4719331313401,889523037997.0,272 mm,2.0,1,0,2,2,0,0,2535 MHz,8 GB,18000 MHz,160 W,https://m.media-amazon.com/images/I/71d1VbQA1dL._AC_UY218_.jpg
GIGABYTE GeForce RTX 4060 Ti Gaming OC,$435.22 USD,Gigabyte,GV-N406TGAMING OC-8GD,4719331313456,889523038093.0,281 mm,2.0,1,0,2,2,0,0,2535 MHz,8 GB,18000 MHz,160 W,https://m.media-amazon.com/images/I/71N7BLpLAhL._AC_UY218_.jpg
GIGABYTE GeForce RTX 4070 Gaming OC,$629.62 USD,Gigabyte,GV-N4070GAMING OC-12GD 1.0,4719331312947,889523037010.0,300 mm,3.0,0,0,1,3,0,0,2565 MHz,12 GB,21000 MHz,200 W,https://m.media-amazon.com/images/I/71HYYZDMP1L._AC_UY218_.jpg
GIGABYTE GeForce RTX 4080 Eagle OC,$1160.59 USD,Gigabyte,GV-N4080EAGLE OC-16GD,4719331311506,,342 mm,3.0,0,0,1,3,0,0,2520 MHz,16 GB,22400 MHz,320 W,https://m.media-amazon.com/images/I/71HYYZDMP1L._AC_UY218_.jpg
Gigabyte Radeon RX 6500 XT Eagle,$216.87 USD,Gigabyte,GV-R65XTEAGLE-4GD,4719331310554,889523031247.0,192 mm,2.0,0,1,1,1,0,0,2815 MHz,4 GB,,107 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
Gigabyte Radeon RX 6700 XT Eagle,$454.3 USD,Gigabyte,GV-R67XTEAGLE-12GD,4719331308629,889523027288.0,282 mm,2.0,1,1,2,2,0,0,2581 MHz,12 GB,8000 MHz,230 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
Gigabyte Radeon RX 6700 XT Gaming OC,$948.74 USD,Gigabyte,GV-R67XTGAMING OC-12GD,4719331308612,889523027271.0,281 mm,2.5,1,1,2,2,0,0,2622 MHz,12 GB,8000 MHz,230 W,https://m.media-amazon.com/images/I/71+Lh5QLfyL._AC_UY218_.jpg
