Name,Price,Producer,MPN,EAN,UPC,Socket,Chipset,Unlocked,Form Factor,Memory Type,Memory Capacity,RAM Slots,SATA,VGA,DVI,Display Port,HDMI,WiFi,Integrated Graphics,Image URL
MSI B550-A Pro,$145.07 USD,MSI,7C56-002R,4.72E+12,8.24E+11,AM4,B550,FALSE,ATX,DDR4,128 GB,4,6,0,0,1,1,FALSE,FALSE,https://m.media-amazon.com/images/I/91nx+MhjjwL._AC_UY218_.jpg
ASRock B360 Pro4,$112.72 USD,ASRock,90-MXB6V0-A0UAYZ,4.72E+12,,1151,B360,FALSE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81iOe7-Q7+L._AC_UY218_.jpg
ASRock B360M Pro4,$92.4 USD,ASRock,90-MXB760-A0UAYZ,4.72E+12,,1151,B360,FALSE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81iOe7-Q7+L._AC_UY218_.jpg
ASRock B360M-ITX/AC,$103.49 USD,ASRock,90-MXB790-A0UAYZ,4.72E+12,,1151,B360,FALSE,Mini-ITX,DDR4,32 GB,2,4,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81iOe7-Q7+L._AC_UY218_.jpg
ASRock B650M PG Riptide,$159.58 USD,ASRock,90-MXBJ90-A0UAYZ,4.71E+12,,AM5,B650E,FALSE,Micro-ATX,DDR5,128 GB,4,4,0,0,1,1,FALSE,FALSE,https://m.media-amazon.com/images/I/71AQWlY49UL._AC_UY218_.jpg
ASRock Fatal1ty X399 Professional Gaming,$431.41 USD,ASRock,90-MXB5Q0-A0UAYZ,4.72E+12,,TR4,X399,TRUE,ATX,DDR4,128 GB,8,8,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/71FDkdGx1gL._AC_UY218_.jpg
ASRock X299 Gaming K6,$261.13 USD,ASRock,90-MXB5E0-A0UAYZ,4.72E+12,,2066,X299,TRUE,ATX,DDR4,128 GB,8,8,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/61B7foBzSbL._AC_UY218_.jpg
ASRock X399 Taichi,$314.49 USD,ASRock,90-MXB5R0-A0UAYZ,4.72E+12,,TR4,X399,TRUE,ATX,DDR4,128 GB,8,8,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81jY5SqwBbL._AC_UY218_.jpg
"ASRock X570 Taichi, AMD X570",$293.77 USD,ASRock,90-MXBA80-A0UAYZ,4.72E+12,,AM4,X570,TRUE,ATX,DDR4,128 GB,4,8,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/81jY5SqwBbL._AC_UY218_.jpg
ASRock X99 Taichi,$253.93 USD,ASRock,90-MXB380-A0UAYZ,4.72E+12,,2011-V3,X99,FALSE,ATX,DDR4,128 GB,8,10,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81jY5SqwBbL._AC_UY218_.jpg
ASRock Z270 Killer SLI,$196.37 USD,ASRock,90-MXB4T0-A0UAYZ,4.72E+12,,1151,Z270,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/81I8lVv9neL._AC_UY218_.jpg
ASRock Z270 Pro4,$128.2 USD,ASRock,90-MXB3Q0-A0UAYZ,4.72E+12,,1151,Z270,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/71tCn4fKKgL._AC_UY218_.jpg
ASRock Z270M Pro4,$131.84 USD,ASRock,90-MXB3F0-A0UAYZ,4.72E+12,,1151,Z270,TRUE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/91e66YCIHJL._AC_UY218_.jpg
ASRock Z270M-ITX/ac,$123.07 USD,ASRock,90-MXB3K0-A0UAYZ,4.72E+12,,1151,Z270,TRUE,Mini-ITX,DDR4,32 GB,2,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/71di4AwSnfL._AC_UY218_.jpg
ASRock Z370 Pro4,$130.56 USD,ASRock,90-MXB5X0-A0UAYZ,4.72E+12,,1151,Z370,TRUE,ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/71xxyeqX3HL._AC_UY218_.jpg
ASRock Z370M Pro4,$122.96 USD,ASRock,90-MXB660-A0UAYZ,4.72E+12,,1151,Z370,TRUE,Micro-ATX,DDR4,64 GB,4,6,0,0,0,0,FALSE,FALSE,https://m.media-amazon.com/images/I/71xxyeqX3HL._AC_UY218_.jpg
ASRock Z390 Extreme 4,$155.01 USD,ASRock,90-MXB880-A0UAYZ,4.72E+12,,1151,Z390,FALSE,ATX,DDR4, GB,4,4,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/91wSxpXbYvL._AC_UY218_.jpg
ASRock Z390 Taichi,$245.05 USD,ASRock,90-MXB8H0-A0UAYZ,4.72E+12,,1151,Z390,FALSE,ATX,DDR4, GB,4,4,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/91vMSgZ3jTL._AC_UY218_.jpg
ASRock Z790 PG Lightning,$103.61 USD,ASRock,90-MXBKA0-A0UAYZ,4.71E+12,,1700,Z790,FALSE,ATX,DDR5,128 GB,4,4,0,0,0,1,FALSE,FALSE,https://m.media-amazon.com/images/I/81tRMP8sPAL._AC_UY218_.jpg
