Name,Price,Producer,MPN,EAN,UPC,Watt,Size,Efficiency Rating,Image URL
Corsair CX450,$43.52 USD,Corsair,CP-9020120-NA,843591083928,843591083928.0,450 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/71V8e069n-L._AC_UY218_.jpg
Corsair CX450M,$47.14 USD,Corsair,CP-9020101-NA,843591057967,843591057967.0,450 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/71V8e069n-L._AC_UY218_.jpg
Corsair CX550,$68.9 USD,Corsair,CP-9020121-NA,843591084000,843591084000.0,550 W,ATX,80 Plus Bronze,https://m.media-amazon.com/images/I/71V8e069n-L._AC_UY218_.jpg
Corsair RM550x,$78.25 USD,Corsair,CP-9020090-NA,843591050586,843591050586.0,550 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/61tOgJ849GL._AC_UY218_.jpg
Corsair RM750x,$108.8 USD,Corsair,CP-9020092-NA,843591050746,843591050746.0,750 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/61tOgJ849GL._AC_UY218_.jpg
Corsair TX550M,$90.66 USD,Corsair,CP-9020133-NA,843591091282,843591091282.0,550 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/71V8e069n-L._AC_UY218_.jpg
Corsair TX650M,$93.57 USD,Corsair,CP-9020132-NA,843591091206,843591091206.0,650 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/71-8QqxEbrL._AC_UY218_.jpg
Corsair TX750M,$79.78 USD,Corsair,CP-9020131-NA,843591091121,843591091121.0,750 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/61tOgJ849GL._AC_UY218_.jpg
Corsair TX850M,$101.55 USD,Corsair,CP-9020130-NA,843591091046,843591091046.0,850 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/61eKAbgBZRL._AC_UY218_.jpg
EVGA SuperNOVA 550 G3,$79.78 USD,EVGA,220-G3-0550-Y1,843368042547,843368042547.0,550 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/519wWnrOVaL._AC_UY218_.jpg
EVGA SuperNOVA 650 G3,$114.6 USD,EVGA,220-G3-0650-Y1,843368042585,843368042585.0,650 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/71b8C44VDoL._AC_UY218_.jpg
EVGA SuperNOVA 750 G2,$114.59 USD,EVGA,220-G2-0750-XR,7427457087041,41650177025.0,750 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/71wRA2H6uqL._AC_UY218_.jpg
EVGA SuperNOVA 750 G3,$101.55 USD,EVGA,220-G3-0750-X1,843368042622,843368042622.0,750 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/71wRA2H6uqL._AC_UY218_.jpg
EVGA SuperNOVA 850 G2,$134.16 USD,EVGA,220-G2-0850-XR,803982727282,843368027445.0,850 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/715f5WwRZGS._AC_UY218_.jpg
Seasonic FOCUS 550 GOLD,$90.66 USD,Seasonic,SSR-550FM,4711173873389,4711173873389.0,550 W,ATX,80 Plus Gold,https://m.media-amazon.com/images/I/814-N3mWVEL._AC_UY218_.jpg
Seasonic Focus GX 80 Plus Gold,$72.53 USD,Seasonic,FOCUS-GX-550,4711173874713,,550 W,ATX,80 PLUS Gold,https://m.media-amazon.com/images/I/71Os7OMkW8L._AC_UY218_.jpg
Seasonic Focus GX 80 Plus Gold,$76.16 USD,Seasonic,FOCUS-GX-650,4711173874706,,650 W,ATX,80 PLUS Gold,https://m.media-amazon.com/images/I/71Os7OMkW8L._AC_UY218_.jpg
Seasonic Focus GX 80 Plus Gold,$90.66 USD,Seasonic,FOCUS-GX-750,4711173874690,,750 W,ATX,80 PLUS Gold,https://m.media-amazon.com/images/I/71Os7OMkW8L._AC_UY218_.jpg
Seasonic Focus GX 80 PLUS Gold,$132.86 USD,Seasonic,FOCUS-GX-850,4711173874683,,850 W,ATX,80 PLUS Gold,https://m.media-amazon.com/images/I/71Os7OMkW8L._AC_UY218_.jpg
Seasonic Focus PX 80 Plus Platinum 750 Watt,$119.68 USD,Seasonic,FOCUS-PX-750,4711173874645,,750 W,ATX,80 PLUS Platinum,https://m.media-amazon.com/images/I/81gJdU1DGgL._AC_UY218_.jpg
