Name,Price,Producer,MPN,EAN,UPC,Ram Type,Size,Clock,Timings,Sticks,Image URL
Corsair Vengeance RGB RS,$61.19 USD,Corsair,CMG16GX4M2E3200C16,8.40E+11,,DDR4-3200,16 GB,3200,16-20-20-38,2,https://m.media-amazon.com/images/I/51ChiVPj3-L._AC_UY218_.jpg
ADATA XPG Spectrix RGB D60G grey,$131.73 USD,ADATA,AX4U360038G17-DT60,4.71E+12,,DDR4-3600,16 GB,3600,17-18-18,2,https://m.media-amazon.com/images/I/411P3zN-HxL._AC_UY218_.jpg
Ballistix Sport DDR4-2400 CL16,$51.34 USD,Ballistix,BLS8G4D240FSA,6.50E+11,,DDR4-2400,8 GB,2400,,1,https://m.media-amazon.com/images/I/91td53J3-TL._AC_UY218_.jpg
Corsair Dominator Platinum + AF,$256.78 USD,Corsair,CMD16GX4M2B3600C18,8.44E+11,8.44E+11,DDR4-3600,16 GB,3600,18-19-19-39,2,https://m.media-amazon.com/images/I/61kZaFXI2uL._AC_UY218_.jpg
Corsair Dominator Platinum DDR4-2666 CL15,$213.04 USD,Corsair,CMD32GX4M2A2666C15,8.44E+11,8.44E+11,DDR4-2666,32 GB,2666,,1,https://m.media-amazon.com/images/I/61phjjKKrmL._AC_UY218_.jpg
Corsair Dominator Platinum RGB Series,$92.75 USD,Corsair,CMT16GX4M2Z3200C16,8.40E+11,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/61kZaFXI2uL._AC_UY218_.jpg
Corsair Dominator Platinum RGB Series,$111.69 USD,Corsair,CMT16GX4M2C3600C18,8.40E+11,,DDR4-3600,16 GB,3600,18-19-19-39,2,https://m.media-amazon.com/images/I/61kZaFXI2uL._AC_UY218_.jpg
Corsair Dominator Platinum RGB Series,$133.69 USD,Corsair,CMT32GX4M2C3200C16,8.40E+11,,DDR4-3200,32 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/71WtG1f7neL._AC_UY218_.jpg
Corsair Dominator Platinum RGB Series,$145.07 USD,Corsair,CMT16GX4M2C3200C16,8.40E+11,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/61kZaFXI2uL._AC_UY218_.jpg
Corsair Dominator Platinum RGB Series,$297.4 USD,Corsair,CMT32GX4M4Z3200C16,8.40E+11,,DDR4-3200,32 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/71WtG1f7neL._AC_UY218_.jpg
Corsair Dominator Platinum Series 16GB,$262.93 USD,Corsair,CMD16GX4M2B3466C16,8.44E+11,8.44E+11,DDR4-3466,16 GB,3466,16-18-18-36,2,https://m.media-amazon.com/images/I/61kZaFXI2uL._AC_UY218_.jpg
Corsair Dominator Platinum Series 32GB,$244.44 USD,Corsair,CMD32GX4M2C3200C16,8.44E+11,8.44E+11,DDR4-3200,32 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/61phjjKKrmL._AC_UY218_.jpg
Corsair Dominator Platinum Series DDR4-3200,$108.8 USD,Corsair,CMD16GX4M2B3200C16,8.44E+11,,DDR4-3200,16 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/61kZaFXI2uL._AC_UY218_.jpg
Corsair LED 32GB,$272.78 USD,Corsair,CMU32GX4M2C3200C16,8.44E+11,8.44E+11,DDR4-3200,32 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/71e6YWJio-L._AC_UY218_.jpg
Corsair LPX 16GB,$81.23 USD,Corsair,CMK16GX4M2B3000C15B,6.91E+12,8.44E+11,DDR4-3000,16 GB,3000,15-17-17-35,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
Corsair LPX 16GB,$97.92 USD,Corsair,CMK16GX4M2Z2666C16,8.44E+11,8.44E+11,DDR4-2666,16 GB,2666,16-18-18-35,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
Corsair LPX 16GB,$119.68 USD,Corsair,CMK16GX4M2A2400C16R,6.91E+12,8.44E+11,DDR4-2400,16 GB,2400,16-16-16-39,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
Corsair LPX 32GB,$76.16 USD,Corsair,CMK32GX4M2A2400C16,8.44E+11,8.44E+11,DDR4-2400,32 GB,2400,16-16-16-39,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
Corsair LPX 32GB,$134.13 USD,Corsair,CMK32GX4M2B3200C16,8.44E+11,8.44E+11,DDR4-3200,32 GB,3200,16-18-18-36,2,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY218_.jpg
