Name,Price,Producer,MPN,EAN,UPC,Form Factor,Protocol,Size,NAND,Controller,Image URL
Crucial P2 1000 GB,$78.51 USD,Crucial,CT1000P2SSD8,6.50E+11,,M.2,NVM,1000 GB,TLC,Phison PS5013-E13T,https://m.media-amazon.com/images/I/61eqMCabEyL._AC_UY218_.jpg
ADATA XPG SX8200 Pro Series 2000 GB,$217.61 USD,ADATA,ASX8200PNP-2TT-C,4.71E+12,,M.2,NVM,2000 GB,TLC,Silicon Motion SM2262EN,https://m.media-amazon.com/images/I/61nL3BOss0L._AC_UY218_.jpg
ADATA XPG SX8200 Pro Series 512 GB,$261.13 USD,ADATA,ASX8200PNP-512GT-C,4.71E+12,,M.2,NVM,512 GB,TLC,Silicon Motion SM2262EN,https://m.media-amazon.com/images/I/61nL3BOss0L._AC_UY218_.jpg
ADATA XPG SX8200 Series,$82.74 USD,ADATA,ASX8200NP-240GT-C,4.71E+12,,M.2,NVM,240 GB,,Silicon Motion SM2262,https://m.media-amazon.com/images/I/81piu5tiJtL._AC_UY218_.jpg
ADATA XPG SX8200 Series,$161.48 USD,ADATA,ASX8200NP-480GT-C,4.71E+12,,M.2,NVM,480 GB,TLC,Silicon Motion SM2262,https://m.media-amazon.com/images/I/61nL3BOss0L._AC_UL320_.jpg
Corsair MP400 1000 GB,$123.31 USD,Corsair,CSSD-F1000GBMP400,8.40E+11,,M.2,NVM,1000 GB,QLC,PS5012-E12S,https://m.media-amazon.com/images/I/71K5YbKrcYL._AC_UY218_.jpg
Corsair MP400 4000 GB,$553.45 USD,Corsair,CSSD-F4000GBMP400,8.40E+11,,M.2,NVM,4000 GB,QLC,PS5012-E12S,https://m.media-amazon.com/images/I/61wDufiCrjL._AC_UY218_.jpg
Corsair MP600 1000 GB,$162.46 USD,Corsair,CSSD-F1000GBMP600,8.40E+11,,M.2,NVM,1000 GB,MLC,Phisons PS5016-E16,https://m.media-amazon.com/images/I/71TS0FCGLfL._AC_UY218_.jpg
Corsair MP600 2000 GB,$248.07 USD,Corsair,CSSD-F2000GBMP600,8.40E+11,,M.2,NVM,2000 GB,MLC,Phisons PS5016-E16,https://m.media-amazon.com/images/I/71As0+XuPBL._AC_UY218_.jpg
Corsair MP600 500 GB,$90.66 USD,Corsair,CSSD-F500GBMP600,8.40E+11,,M.2,NVM,500 GB,TLC,Phisons PS5016-E16,https://m.media-amazon.com/images/I/61xyXRq0+bL._AC_UY218_.jpg
Corsair MP600 Pro 1000 GB,$94.31 USD,Corsair,CSSD-F1000GBMP600PRO,8.40E+11,,M.2,NVM,1000 GB,TLC,"Phison PS5018-E18, 8 Kanäle",https://m.media-amazon.com/images/I/71As0+XuPBL._AC_UY218_.jpg
Corsair MP600 Pro 2000 GB,$146.64 USD,Corsair,CSSD-F2000GBMP600PRO,8.40E+11,,M.2,NVM,2000 GB,TLC,"Phison PS5018-E18, 8 Kanäle",https://m.media-amazon.com/images/I/71As0+XuPBL._AC_UY218_.jpg
Crucial MX500 1000 GB,$59.51 USD,Crucial,CT1000MX500SSD1,6.50E+11,6.50E+11,SATA,SATA,1000 GB,TLC,Silicon Motion SM2258,https://m.media-amazon.com/images/I/71duypVENNL._AC_UY218_.jpg
Crucial MX500 2000 GB,$112.41 USD,Crucial,CT2000MX500SSD1,6.50E+11,6.50E+11,SATA,SATA,2000 GB,TLC,Silicon Motion SM2258,https://m.media-amazon.com/images/I/71duypVENNL._AC_UY218_.jpg
Crucial MX500 500 GB,$36.25 USD,Crucial,CT500MX500SSD1,6.50E+11,6.50E+11,SATA,SATA,500 GB,TLC,Silicon Motion SM2258,https://m.media-amazon.com/images/I/71duypVENNL._AC_UY218_.jpg
Crucial P1 1000 GB,$102.15 USD,Crucial,CT1000P1SSD8,6.50E+11,,M.2,NVM,1000 GB,QLC,Silicon Motion SM2263EN,https://m.media-amazon.com/images/I/61cBmeZHM8L._AC_UL320_.jpg
Crucial P1 500 GB,$59.73 USD,Crucial,CT500P1SSD8,6.50E+11,6.50E+11,M.2,NVM,500 GB,QLC,Silicon Motion SM2263EN,https://m.media-amazon.com/images/I/41-GwINeIhL._AC_UY218_.jpg
Crucial P2 250 GB,$36.84 USD,Crucial,CT250P2SSD8,6.50E+11,,M.2,NVM,250 GB,TLC,Phison PS5013-E13T,https://m.media-amazon.com/images/I/61eqMCabEyL._AC_UY218_.jpg
Crucial P2 500 GB,$36.39 USD,Crucial,CT500P2SSD8,6.50E+11,,M.2,NVM,500 GB,TLC,Phison PS5013-E13T,https://m.media-amazon.com/images/I/61eqMCabEyL._AC_UY218_.jpg
Gigabyte Aorus 2000 GB,$454.98 USD,Gigabyte,GP-ASM2NE6200TTTD,4.72E+12,,M.2,NVM,2000 GB,TLC,Phison PS5016-E16,https://m.media-amazon.com/images/I/61-5Y82kUEL._AC_UY218_.jpg
Intel 660P 2000 GB,$338.75 USD,Intel,SSDPEKNW020T8X1,7.36E+11,7.36E+11,M.2,NVM,2000 GB,QLC,Silicon Motion SM2263EN,https://m.media-amazon.com/images/I/61VL8FcTNfL._AC_UY218_.jpg
Intel 660P 512 GB,$55.03 USD,Intel,SSDPEKNW512G8X1,7.36E+11,7.36E+11,M.2,NVM,512 GB,QLC,Silicon Motion SM2263EN,https://m.media-amazon.com/images/I/61NLb6yuSKL._AC_UY218_.jpg
Sabrent Rocket,$87.77 USD,Sabrent,SB-ROCKET-512,8.40E+11,,M.2,NVM,512 GB,TLC,Phison PS5012,https://m.media-amazon.com/images/I/71e9QuGwLEL._AC_UY218_.jpg
Sabrent Rocket,$97.92 USD,Sabrent,SB-ROCKET-1TB,8.40E+11,,M.2,NVM,1000 GB,TLC,Phison PS5012,https://m.media-amazon.com/images/I/61iG2zxjtPL._AC_UY218_.jpg
Samsung 860 EVO Series 1000 GB,$166.84 USD,SAMSUNG,MZ-76E1T0B/EU,8.81E+12,,SATA,SATA,1000 GB,TLC,Samsung MJX,https://m.media-amazon.com/images/I/911ujeCkGfL._AC_UY218_.jpg
Samsung 860 EVO Series 500 GB,$130.92 USD,SAMSUNG,MZ-76E500B/EU,8.81E+12,,SATA,SATA,500 GB,TLC,Samsung MJX,https://m.media-amazon.com/images/I/911ujeCkGfL._AC_UY218_.jpg
Samsung 970 EVO,$123.31 USD,SAMSUNG,MZ-V7E250BW,8.80E+12,,M.2,NVM,250 GB,MLC,Samsung Phoenix,https://m.media-amazon.com/images/I/71pDbAfKuAL._AC_UY218_.jpg
Samsung 970 EVO,$478.74 USD,SAMSUNG,MZ-V7E2T0BW,8.80E+12,,M.2,NVM,2000 GB,MLC,Samsung Phoenix,https://m.media-amazon.com/images/I/71FHPYQ2JbL._AC_UY218_.jpg
Samsung 970 EVO 1000 GB,$199.72 USD,SAMSUNG,MZ-V7E1T0BW,8.80E+12,8.87E+11,M.2,NVM,1000 GB,MLC,Samsung Phoenix,https://m.media-amazon.com/images/I/71FHPYQ2JbL._AC_UY218_.jpg
Samsung 970 EVO 500 GB,$58.67 USD,SAMSUNG,MZ-V7E500BW,8.80E+12,8.87E+11,M.2,NVM,500 GB,MLC,Samsung Phoenix,https://m.media-amazon.com/images/I/81ABwgAl-gL._AC_UY218_.jpg
Samsung 970 Evo Plus 1000 GB,$145.07 USD,SAMSUNG,MZ-V7S1T0BW,8.80E+12,,M.2,NVM,1000 GB,MLC,Samsung Phoenix,https://m.media-amazon.com/images/I/71FHPYQ2JbL._AC_UY218_.jpg
Samsung 970 Evo Plus 2000 GB,$290.14 USD,SAMSUNG,MZ-V7S2T0BW,8.80E+12,8.87E+11,M.2,NVM,2000 GB,MLC,Samsung Phoenix,https://m.media-amazon.com/images/I/71OYNmVRFhL._AC_UY218_.jpg
